<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IslamicTreasury-B,20161018, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161017, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161016, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161015, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161012, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161010, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161009, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161008, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161005, 993005.00, 994450.00, 993005.00, 993720.00,22460068715.00, 22602,62,D,992962.00,994450.00
IslamicTreasury-B,20161004, 992520.00, 993900.00, 992504.00, 992962.00,75260567452.00, 75794,56,D,993002.00,993900.00
IslamicTreasury-B,20161003, 993001.00, 993400.00, 992012.00, 993002.00,51191228518.00, 51552,68,D,992756.00,993011.00
IslamicTreasury-B,20161002, 992501.00, 993390.00, 992501.00, 992756.00,34350364868.00, 34601,46,D,992184.00,993110.00
IslamicTreasury-B,20161001, 992002.00, 992800.00, 992002.00, 992184.00,18613380778.00, 18760,40,D,990857.00,992800.00
IslamicTreasury-B,20160928, 990500.00, 992000.00, 990050.00, 990857.00,17716531450.00, 17880,33,D,989907.00,991500.00
IslamicTreasury-B,20160927, 989020.00, 990500.00, 989020.00, 989907.00,33219304837.00, 33558,59,D,989243.00,990001.00
IslamicTreasury-B,20160926, 988501.00, 989988.00, 988501.00, 989243.00,17764819891.00, 17958,40,D,989144.00,989988.00
IslamicTreasury-B,20160925, 988008.00, 989843.00, 988008.00, 989144.00,82055453103.00, 82956,50,D,987866.00,989000.00
IslamicTreasury-B,20160924, 987100.00, 987999.00, 987000.00, 987866.00,96356468886.00, 97540,45,D,986783.00,987502.00
IslamicTreasury-B,20160921, 986970.00, 986970.00, 986103.00, 986783.00,70892459943.00, 71842,50,D,985912.00,986900.00
IslamicTreasury-B,20160919, 985500.00, 986378.00, 985500.00, 985912.00,71638348667.00, 72662,32,D,985197.00,985700.00
IslamicTreasury-B,20160918, 985400.00, 985400.00, 984900.00, 985197.00,98654648410.00, 100137,54,D,984772.00,985300.00
IslamicTreasury-B,20160917, 985700.00, 985900.00, 984001.00, 984772.00,61513756514.00, 62465,71,D,982663.00,984200.00
IslamicTreasury-B,20160914, 985890.00, 985894.00, 980000.00, 982663.00,69241418480.00, 70463,110,D,984206.00,983200.00
IslamicTreasury-B,20160913, 983701.00, 985899.00, 983701.00, 984206.00,14756199309.00, 14993,56,D,982893.00,985899.00
IslamicTreasury-B,20160911, 982009.00, 984076.00, 982009.00, 982893.00,69432580649.00, 70641,90,D,981689.00,984076.00
